,city_latitude,city_longitude,city_resolvedAddress,city_address,city_timezone,city_tzoffset,day_datetime,day_datetimeEpoch,day_tempmax,day_tempmin,day_temp,day_feelslikemax,day_feelslikemin,day_feelslike,day_dew,day_humidity,day_precip,day_precipprob,day_precipcover,day_preciptype,day_snow,day_snowdepth,day_windgust,day_windspeed,day_winddir,day_pressure,day_cloudcover,day_visibility,day_solarradiation,day_solarenergy,day_uvindex,day_severerisk,day_sunrise,day_sunriseEpoch,day_sunset,day_sunsetEpoch,day_moonphase,day_conditions,day_description,day_icon,day_stations,day_source,hour_datetime,hour_datetimeEpoch,hour_temp,hour_feelslike,hour_humidity,hour_dew,hour_precip,hour_precipprob,hour_snow,hour_snowdepth,hour_preciptype,hour_windgust,hour_windspeed,hour_winddir,hour_pressure,hour_visibility,hour_cloudcover,hour_solarradiation,hour_solarenergy,hour_uvindex,hour_severerisk,hour_conditions,hour_icon,hour_stations,hour_source
0,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-28,1709071200,7.3,0.4,2.9,5.0,-2.0,0.7,-1.7,72.6,0.0,0.0,0.0,None,0.0,0.0,31.0,12.2,148.7,1025.7,81.6,24.1,90.6,7.7,4.0,10.0,06:45:13,1709095513,17:36:46,1709134606,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],comb,20:00:00,1709143200,3.0,0.8,75.54,-0.9,0.0,0.0,0.0,0.0,None,21.2,7.9,151.8,1024.0,24.1,1.6,0.0,0.0,0.0,10.0,Clear,clear-night,['remote'],obs
1,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-28,1709071200,7.3,0.4,2.9,5.0,-2.0,0.7,-1.7,72.6,0.0,0.0,0.0,None,0.0,0.0,31.0,12.2,148.7,1025.7,81.6,24.1,90.6,7.7,4.0,10.0,06:45:13,1709095513,17:36:46,1709134606,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],comb,21:00:00,1709146800,2.5,0.4,77.13,-1.1,0.0,0.0,0.0,0.0,None,19.8,7.2,159.0,1024.0,24.1,16.2,0.0,0.0,0.0,10.0,Clear,clear-night,None,fcst
2,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-28,1709071200,7.3,0.4,2.9,5.0,-2.0,0.7,-1.7,72.6,0.0,0.0,0.0,None,0.0,0.0,31.0,12.2,148.7,1025.7,81.6,24.1,90.6,7.7,4.0,10.0,06:45:13,1709095513,17:36:46,1709134606,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],comb,22:00:00,1709150400,2.2,0.3,78.22,-1.2,0.0,0.0,0.0,0.0,None,17.6,6.5,160.9,1025.0,24.1,88.6,0.0,0.0,0.0,10.0,Partially cloudy,partly-cloudy-night,None,fcst
3,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-28,1709071200,7.3,0.4,2.9,5.0,-2.0,0.7,-1.7,72.6,0.0,0.0,0.0,None,0.0,0.0,31.0,12.2,148.7,1025.7,81.6,24.1,90.6,7.7,4.0,10.0,06:45:13,1709095513,17:36:46,1709134606,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],comb,23:00:00,1709154000,2.0,0.3,79.34,-1.2,0.0,0.0,0.0,0.0,None,15.1,5.8,164.0,1025.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
4,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,00:00:00,1709157600,1.9,0.4,79.33,-1.3,0.0,0.0,0.0,0.0,None,13.3,5.4,163.4,1025.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
5,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,01:00:00,1709161200,1.8,0.1,79.9,-1.3,0.0,0.0,0.0,0.0,None,13.7,5.8,169.4,1025.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
6,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,02:00:00,1709164800,1.7,0.1,80.47,-1.3,0.0,0.0,0.0,0.0,None,13.3,5.4,170.6,1025.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
7,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,03:00:00,1709168400,1.5,0.1,81.63,-1.3,0.0,0.0,0.0,0.0,None,13.0,5.0,170.3,1024.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
8,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,04:00:00,1709172000,1.3,-0.3,83.42,-1.2,0.0,0.0,0.0,0.0,None,12.6,5.4,167.3,1024.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
9,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,05:00:00,1709175600,1.1,-0.7,84.63,-1.2,0.0,0.0,0.0,0.0,None,13.3,5.8,167.5,1024.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
10,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,06:00:00,1709179200,1.0,-1.0,85.86,-1.1,0.0,0.0,0.0,0.0,None,14.4,6.1,168.3,1024.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
11,50.4506,30.5243,"Київ, Україна","Kyiv,Ukraine",Europe/Kiev,2.0,2024-02-29,1709157600,8.9,1.0,4.4,7.7,-1.0,3.0,1.2,80.0,0.0,0.0,0.0,None,0.0,0.0,25.9,9.7,173.4,1024.3,74.2,24.1,130.0,11.2,5.0,10.0,06:43:09,1709181789,17:38:28,1709221108,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,None,fcst,07:00:00,1709182800,1.0,-0.8,87.13,-0.9,0.0,0.0,0.0,0.0,None,14.4,5.8,169.5,1025.0,24.1,100.0,0.0,0.0,0.0,10.0,Overcast,cloudy,None,fcst
